data_hora,maquina,resultado,detalhe
2026-08-27T11:20:21.316Z,COMP-074,ok,Demandas de sondagem (furos não executados) (Execution context was destroyed.); Demandas de LAB.C/LAB.E (backlog) (Tipo de Ensaio desconhecido na aba Lab Concluido: "ASF.CD". Acrescente em MAPA_TIPO_ENSAIO_LAB (tools/comum/tipologias-lab.js) decidindo se é Convencional (LAB.C) ou Especial (LAB.E) -- não deixe cair em nenhum por omissão.)
2026-08-28T11:03:06.027Z,COMP-074,ok,Demandas de sondagem (furos não executados) (Execution context was destroyed.); Demandas de LAB.C/LAB.E (backlog) (Execution context was destroyed.)
2026-08-30T01:12:34.865Z,LAPTOP-3479HH9A,ok,Lab Realizado (ensaios) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\kairo\Projetos IA\orcamento-dashboard\dist\lab-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso. Erro original: Execution context was destroyed.); Demandas de LAB.C/LAB.E (backlog) (Tipo de Ensaio desconhecido na aba Lab Concluido: "ASF.TB". Acrescente em MAPA_TIPO_ENSAIO_LAB (tools/comum/tipologias-lab.js) decidindo se é Convencional (LAB.C) ou Especial (LAB.E) -- não deixe cair em nenhum por omissão.)
2026-08-31T10:46:57.303Z,LAPTOP-3479HH9A,falhou,Avanços (furos) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\kairo\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: Cannot find default execution context); Demandas de sondagem (furos não executados) (Execution context was destroyed.); Lab Realizado (ensaios) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\kairo\Projetos IA\orcamento-dashboard\dist\lab-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso. Erro original: DataTable nao inicializou: .producao-grid); Demandas de LAB.C/LAB.E (backlog) (Cannot find default execution context); Equipes (Nenhuma linha encontrada no Link 7 -- abortando sem gravar (sessao expirada; ou período sem nenhuma sondagem -- confira antes de aceitar um CSV vazio).)
2026-08-31T11:19:14.994Z,LAPTOP-3479HH9A,ok,Avanços (furos) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\kairo\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: Inspected target navigated or closed); Lab Realizado (ensaios) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\kairo\Projetos IA\orcamento-dashboard\dist\lab-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso. Erro original: DataTable nao inicializou: .producao-grid); Demandas de LAB.C/LAB.E (backlog) (Execution context was destroyed.)
2026-08-31T11:04:45.271Z,COMP-074,falhou,Avanços (furos) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: DataTable nao inicializou: .producao-grid); Demandas de sondagem (furos não executados) (Inspected target navigated or closed); Lab Realizado (ensaios) (O mês CORRENTE (2026-08) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\lab-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso. Erro original: Execution context was destroyed.); Demandas de LAB.C/LAB.E (backlog) (DataTable nao inicializou: #table); Equipes (Nenhuma linha encontrada no Link 7 -- abortando sem gravar (sessao expirada; ou período sem nenhuma sondagem -- confira antes de aceitar um CSV vazio).)
2026-09-01T11:00:15.615Z,COMP-074,falhou,Avanços (furos) (fetch failed); Demandas de sondagem (furos não executados) (fetch failed); Lab Realizado (ensaios) (fetch failed); Demandas de LAB.C/LAB.E (backlog) (fetch failed); Equipes (fetch failed)
2026-09-01T13:30:47.542Z,COMPUTADOR053,ok,Demandas de sondagem (furos não executados) (Execution context was destroyed.); Demandas de LAB.C/LAB.E (backlog) (Tipo de Ensaio desconhecido na aba Lab Concluido: "COMP.A". Acrescente em MAPA_TIPO_ENSAIO_LAB (tools/comum/tipologias-lab.js) decidindo se é Convencional (LAB.C) ou Especial (LAB.E) -- não deixe cair em nenhum por omissão.)
2026-09-02T11:03:46.408Z,COMP-074,ok,Avanços (furos) (O mês CORRENTE (2026-09) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: Inspected target navigated or closed); Demandas de LAB.C/LAB.E (backlog) (Tipo de Ensaio desconhecido na aba Lab Concluido: "ASF.TB". Acrescente em MAPA_TIPO_ENSAIO_LAB (tools/comum/tipologias-lab.js) decidindo se é Convencional (LAB.C) ou Especial (LAB.E) -- não deixe cair em nenhum por omissão.)
2026-09-03T11:06:02.098Z,COMP-074,falhou,Avanços (furos) (O mês CORRENTE (2026-09) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: DataTable nao inicializou: .producao-grid); Demandas de sondagem (furos não executados) (DataTable nao inicializou: table); Lab Realizado (ensaios) (O mês CORRENTE (2026-09) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\lab-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso. Erro original: DataTable nao inicializou: .producao-grid); Demandas de LAB.C/LAB.E (backlog) (DataTable nao inicializou: #table); Equipes (Nenhuma linha encontrada no Link 7 -- abortando sem gravar (sessao expirada; ou período sem nenhuma sondagem -- confira antes de aceitar um CSV vazio).)
2026-09-04T11:06:04.399Z,COMP-074,falhou,Avanços (furos) (O mês CORRENTE (2026-09) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\avancos-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso (o Realizado ficaria perto de zero em silêncio). Erro original: DataTable nao inicializou: .producao-grid); Demandas de sondagem (furos não executados) (DataTable nao inicializou: table); Lab Realizado (ensaios) (O mês CORRENTE (2026-09) falhou ao buscar -- abortando SEM gravar C:\Users\amcac\OneDrive\Desktop\Projetos IA\orcamento-dashboard\dist\lab-online.csv pra não substituir o CSV bom já publicado por um sem o mês em curso. Erro original: DataTable nao inicializou: .producao-grid); Demandas de LAB.C/LAB.E (backlog) (DataTable nao inicializou: #table); Equipes (Nenhuma linha encontrada no Link 7 -- abortando sem gravar (sessao expirada; ou período sem nenhuma sondagem -- confira antes de aceitar um CSV vazio).)
2026-09-04T13:21:41.579Z,COMP-074,ok,Demandas de sondagem (furos não executados) (Execution context was destroyed.); Demandas de LAB.C/LAB.E (backlog) (DataTable nao estabilizou (recordsTotal nao parou de mudar): #table)
